a_doc_id,a_start,a_end,a_text,a_url,a_title,a_categories,b_doc_id,b_start,b_end,b_text,b_url,b_title,b_categories
736,0,37,"Hu Jintao, the President of the People's Republic of China had lunch today with the President of Brazil, Luiz Inácio Lula da Silva, at the Granja do Torto, the President's country residence in the Brazilian Federal District.",https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",104477,213,239,"Some Chinese protesters have called for a boycott of French goods, in particular the French retailer Carrefour, which Chinese bloggers accused of supporting the Dalai Lama.",https://en.wikinews.org/wiki?curid=104477,"China, France attempt to repair relations in wake of protests","Asia,China,Tibet,Europe,France,Politics and conflicts,Beijing 2008 Olympic and Paralympic Summer Games,Hu Jintao,Nicolas Sarkozy"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",9692,155,164,In the evening there was a large fireworks display.,https://en.wikinews.org/wiki?curid=9692,Victory Day 60th anniversary commemorated in Russia,"Asia,Russia,World War II,Culture and entertainment,Politics and conflicts,Jacques Chirac,George W. Bush,Vladimir Putin,Kofi Annan,Hu Jintao,Junichiro Koizumi"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",15169,167,193,"This attack is a further blow to the fragile cease-fire between Israel and the Palestinian Authority (PA), which has been in place since February this year.",https://en.wikinews.org/wiki?curid=15169,Palestinian rocket attack kills Israeli woman,"Politics and conflicts,Middle East,Israel,Palestine,Hamas,Israel Defense Forces,Palestinian National Authority,Fatah,Palestinian Islamic Jihad"
736,0,37,"Hu Jintao, the President of the People's Republic of China had lunch today with the President of Brazil, Luiz Inácio Lula da Silva, at the Granja do Torto, the President's country residence in the Brazilian Federal District.",https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",99486,246,288,"China is also concerned about the humanitarian issues there, but we have been playing a positive and constructive role in promoting peace in Darfur, Liu said, adding that China is working with the United Nations to provide aid and resolve the crisis.",https://en.wikinews.org/wiki?curid=99486,International row after Spielberg quits 2008 Beijing Olympics,"Asia,China,Africa,Darfur,Sudan,North America,United States,Politics and conflicts,Culture and entertainment,Sports,Olympics,Beijing 2008 Olympic and Paralympic Summer Games,George W. Bush,Hu Jintao,Steven Spielberg,The Times (UK)"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",4961,118,142,"Israel has promised to release an additional 400 prisoners in the coming months, with the names to be determined by a joint Palestinian-Israeli committee.",https://en.wikinews.org/wiki?curid=4961,Five hundred Palestinian prisoners released by Israel,"Politics and conflicts,Middle East,Palestine,Israel,Mahmoud Abbas,Ariel Sharon,Palestinian National Authority,West Bank,Sharm el-Sheikh"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",86038,134,151,"The time is right, the cause is just, and with hard effort, I know they can succeed.",https://en.wikinews.org/wiki?curid=86038,"Middle East peace conference begins in Annapolis, Maryland","World,Middle East,Israel,Palestine,United States,Politics and conflicts,Mahmoud Abbas,George W. Bush,Ehud Olmert,Condoleezza Rice,Hamas,Palestinian National Authority"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",43913,92,107,"According to Hamas leaders, the document neither implicitly nor explicitly recognises Israel's right to exist.",https://en.wikinews.org/wiki?curid=43913,Hamas strikes deal with Fatah,"Israel,Middle East,Politics and conflicts,Palestine,Mahmoud Abbas,Hamas,Palestinian National Authority,Fatah"
736,0,37,"Hu Jintao, the President of the People's Republic of China had lunch today with the President of Brazil, Luiz Inácio Lula da Silva, at the Granja do Torto, the President's country residence in the Brazilian Federal District.",https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",5487,135,147,Taiwan views the development as violating international norms for peacefully resolving disputes.,https://en.wikinews.org/wiki?curid=5487,"China declares ""the state shall employ nonpeaceful means""","Asia,China,Politics and conflicts,Taiwan,Hu Jintao"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",20178,120,139,"A lawsuit was filed in 2000 against the Palestinian Authority, the PLO, Hamas, and Yasser Arafat in Rhode Island.",https://en.wikinews.org/wiki?curid=20178,Rhode Island District Court freezes Palestinian Authority assets in the US,"United States,Rhode Island,Politics and conflicts,Middle East,Palestine Liberation Organization,Palestine,North America,Yasser Arafat,Palestinian National Authority,West Bank"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",13347,0,25,"On June 30, in Brazil, deputy Roberto Jefferson testified to deputies and senators of a Commission that is investigating the alleged Post Office Service scandal.",https://en.wikinews.org/wiki?curid=13347,New denunciations of Brazilian deputy and evidence make things difficult for Lula,"Politics and conflicts,South America,Brazil,2005 Political crisis in Brazil,Luiz Inácio Lula da Silva"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",4301,32,50,"Hamas said that although the Palestinian leaders had announced a truce, the organisation was not bound to it.",https://en.wikinews.org/wiki?curid=4301,Hamas dampens Palestinian-Israeli truce,"Middle East,Israel,Palestine,Politics and conflicts,Mahmoud Abbas,Hamas,Palestinian National Authority,Sharm el-Sheikh,Palestinian Islamic Jihad"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",3801,58,82,"Fathiya Barghouti Rheime, a 30-year-old high school teacher, and mother of two, was one of the seven Hamas mayors elected in the Gaza strip.",https://en.wikinews.org/wiki?curid=3801,Hamas takes victory in Gaza elections,"Israel,Elections,Mahmoud Abbas,Hamas,West Bank,Fatah"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",72062,99,115,Both the United States and Israel have also said they will lift financial restrictions against Palestine.,https://en.wikinews.org/wiki?curid=72062,"EU, US and Israel to resume aid to and lift financial sanctions against Palestine","Israel,Palestine,United States,Europe,Politics and conflicts,Middle East,Hamas,Iain Macdonald (Wikinewsie),Palestinian National Authority,North America"
741,0,16,Acting president Rawhi Fattuh has announced today that Palestinian elections will be held on January 9.,https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",18664,308,330,Israel has given no assurances that there will be a lessening of trade restrictions on goods coming out of the Gaza strip.,https://en.wikinews.org/wiki?curid=18664,Gaza Strip pullout under way,"Politics and conflicts,Palestine,Israel,Mahmoud Abbas,Likud,Jerusalem,Ariel Sharon,Palestinian National Authority,West Bank"
