a_doc_id,a_start,a_end,a_text,a_url,a_title,a_categories,b_doc_id,b_start,b_end,b_text,b_url,b_title,b_categories
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",4301,113,138,"The groups appear to have come to an agreement that they should continue to observe a month's calm, as agreed with Abbas in late January.",https://en.wikinews.org/wiki?curid=4301,Hamas dampens Palestinian-Israeli truce,"Middle East,Israel,Palestine,Politics and conflicts,Mahmoud Abbas,Hamas,Palestinian National Authority,Sharm el-Sheikh,Palestinian Islamic Jihad"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",110270,164,189,"Hamas would not blame the rival Fatah faction directly for the incident but implied its involvement, issuing a statement blaming members of the fugitive party.",https://en.wikinews.org/wiki?curid=110270,"Six year old girl and five others killed, Hamas arrests 200 Palestinians","Disasters and accidents,Middle East,Politics and conflicts,Gaza Strip,Mahmoud Abbas,Hamas,Palestinian National Authority,Fatah,Palestine"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",4301,32,50,"Hamas said that although the Palestinian leaders had announced a truce, the organisation was not bound to it.",https://en.wikinews.org/wiki?curid=4301,Hamas dampens Palestinian-Israeli truce,"Middle East,Israel,Palestine,Politics and conflicts,Mahmoud Abbas,Hamas,Palestinian National Authority,Sharm el-Sheikh,Palestinian Islamic Jihad"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",85509,132,143,"In Venezuela, there were three referendums,  three elections, four ...",https://en.wikinews.org/wiki?curid=85509,"Lula: Venezuela ""does not lack democracy""","Politics and conflicts,Venezuela,Brazil,South America,Hugo Chávez,Luiz Inácio Lula da Silva,Democracy"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",101356,36,59,This is the most lethal attack on Israeli civilians in two years and the first attack in Jerusalem in more than three years.,https://en.wikinews.org/wiki?curid=101356,Gunman kills eight at Jerusalem school,"Middle East,Israel,Palestine,Crime and law,Politics and conflicts,Mahmoud Abbas,Jerusalem,Palestinian National Authority"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",18664,202,228,"I don't want — and I will not accept — any clashes with the army or the settlers, Palestinian President Mahmoud Abbas told Channel 10 TV.",https://en.wikinews.org/wiki?curid=18664,Gaza Strip pullout under way,"Politics and conflicts,Palestine,Israel,Mahmoud Abbas,Likud,Jerusalem,Ariel Sharon,Palestinian National Authority,West Bank"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",87278,48,64,"Aryeh Mekel, the spokesman for the Israeli Foreign Ministry says both sides had grievances to air.",https://en.wikinews.org/wiki?curid=87278,Israeli and Palestinian negotiators meet formally,"Middle East,Israel,Palestine,Politics and conflicts,Mahmoud Abbas,Ehud Olmert,Hamas,Jerusalem,West Bank,Saeb Erekat"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",89154,36,56,"Just hours before President Bush is due to touch down in Israel, Mr. Olmert and Mr. Abbas met in Jerusalem.",https://en.wikinews.org/wiki?curid=89154,Abbas and Olmert meet before Bush visit,"Middle East,Israel,Palestine,United States,Politics and conflicts,Mahmoud Abbas,George W. Bush,Ehud Olmert,Jerusalem,West Bank"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",3173,0,13,Three Palestinian militants attacked the Karni crossing between the Gaza Strip and Israel.,https://en.wikinews.org/wiki?curid=3173,"Suicide attack at Karni crossing between Gaza Strip, Israel","Israel,Palestine,Politics and conflicts,Mahmoud Abbas,Suicide attacks"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",86153,135,165,"Neither has the support at home or the control of his government to do something extremely serious, said Jon Alterman, an analyst at the Center for Strategic and International Studies.",https://en.wikinews.org/wiki?curid=86153,"Statement of ""joint understanding"" released after Annapolis Conference","World,Middle East,Israel,Palestine,United States,Politics and conflicts,Mahmoud Abbas,George W. Bush,Ehud Olmert,Condoleezza Rice,Hamas,West Bank,Hebron"
