a_doc_id,a_start,a_end,a_text,a_url,a_title,a_categories,b_doc_id,b_start,b_end,b_text,b_url,b_title,b_categories
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",9321,422,487,"I told him we will not have ten years – we will not even have ten days free from pressure, because we are legitimizing one-sided withdrawals from Jewish areas – each withdrawal will only invite more pressure.” “We are speaking about three generations of Jews that were sent on the important mission by the Israeli government and made an empty desert into a blossoming garden.",https://en.wikinews.org/wiki?curid=9321,K'nesset Member Natan Sharansky resigns from coalition government to protest planned Gaza withdrawal,"Middle East,Israel,Politics and conflicts,published,Likud,Knesset,Jerusalem,Ariel Sharon,Palestinian National Authority"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",44079,46,74,"Israel claims its ongoing Operation Summer Rains, which began early on June 28, is in response to the capture of Israeli soldier Cpl. Gilad Shalit by Palestinian militants.",https://en.wikinews.org/wiki?curid=44079,"Interior Ministry, Fatah offices in Gaza hit by Israeli airstrikes","Gaza Strip,Israel,Middle East,Politics and conflicts,Palestine,Hamas,Israel Defense Forces,Fatah,Palestinian Islamic Jihad"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",143538,114,128,Abbas expressed frustration with the lack of progress in the peace process with Israel.,https://en.wikinews.org/wiki?curid=143538,"Palestinian president Abbas has ""no desire"" to seek reelection","Middle East,Israel,Jerusalem,West Bank,Fatah,Palestine"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",143538,0,24,Palestinian President Mahmoud Abbas has said that he has no desire of running for re-election in a presidential vote he has called for January.,https://en.wikinews.org/wiki?curid=143538,"Palestinian president Abbas has ""no desire"" to seek reelection","Middle East,Israel,Jerusalem,West Bank,Fatah,Palestine"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",14839,252,270,The Israeli government on the other hand alleges that the PA is not doing enough to stop terrorism.,https://en.wikinews.org/wiki?curid=14839,"Suicide attack hits mall in Netanya, Israel","Israel,Middle East,Ariel Sharon,Palestinian National Authority,Palestinian Islamic Jihad,Suicide attacks"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",8793,427,456,"Then the leaders each planted trees in the Asia-Africa forest, one tree per country to symbolize close cooperation between their peoples, before getting on their jets and returning home.",https://en.wikinews.org/wiki?curid=8793,"Historic summit, commemoration by Asian-African leaders in Bandung","Economy and business,Politics and conflicts,Africa,Asia,Published,Manmohan Singh,Hu Jintao,Thabo Mbeki,Java,Indonesia,West Java,Nuclear proliferation,Non-Aligned Movement"
741,0,16,Acting president Rawhi Fattuh has announced today that Palestinian elections will be held on January 9.,https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",3801,58,82,"Fathiya Barghouti Rheime, a 30-year-old high school teacher, and mother of two, was one of the seven Hamas mayors elected in the Gaza strip.",https://en.wikinews.org/wiki?curid=3801,Hamas takes victory in Gaza elections,"Israel,Elections,Mahmoud Abbas,Hamas,West Bank,Fatah"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",102756,197,238,"Abbas noted that, Peace and stability will not be achieved through a settlement expansion, or the setting up of checkpoints around towns and villages, and the military escalation against Gaza, nor the incursions, continuous incursions into West Bank villages and towns.",https://en.wikinews.org/wiki?curid=102756,Cheney meets with Israeli and Palestinian leaders,"Middle East,Israel,Palestine,Dick Cheney,Ehud Olmert,Shimon Peres,Mahmoud Abbas,West Bank,Fatah,Hamas"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",47697,29,39,Al-Shaer is the highest ranking Hamas member to be detained.,https://en.wikinews.org/wiki?curid=47697,Top Hamas official seized by Israel,"Politics and conflicts,Middle East,Israel,Palestine,Hamas,Palestinian National Authority,Ramallah,West Bank"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",3389,0,26,"Brazilian President Luiz Inácio Lula da Silva travelled to the Colombian city of Leticia, in the triborder region, where he met with Colombian President Alvaro Uribe.",https://en.wikinews.org/wiki?curid=3389,Brazilian President meets President of Colombia,"Brazil,Colombia,Venezuela,South America,Politics and conflicts,Hugo Chávez,Fidel Castro,Luiz Inácio Lula da Silva"
